restaurant,RestaurantID,RestaurantName,RestaurantCity,RestaurantAttributes
0000054C,54C,Goose Island Brewing Co.,Chicago,American (New) Good Decor Good Food below $15 Parking/Valet People Keep Coming Back Place for Singles Private Parties Private Rooms Available Pub Feel Good Service See the Game Short Drive Singles Scene Weekend Brunch 
0000055C,55C,Kanval Palace,Chicago,Buffet Dining Good Decor Excellent Food Indian $15-$30 Excellent Service Short Drive 
0000056C,56C,Avanti Populo,Chicago,Excellent Decor Dining Outdoors Excellent Food Great for People Watching Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Short Drive Weekend Brunch 
0000057C,57C,Bella Vista,Chicago,Extraordinary Decor Excellent Food Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Short Drive Weekend Brunch 
0000058C,58C,Mirabell,Chicago,Austrian Continental Excellent Decor Excellent Food $15-$30 Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Short Drive Traditional 
0000059C,59C,Ha Mien,Chicago,Fair Decor Excellent Food below $15 Good Service Short Drive Vietnamese 
0000060C,60C,Planet Hollywood,Chicago,After Hours Dining American (New) Cab Excellent Decor Good Food For the Young and Young at Heart Great for People Watching Hip Place To Be Late Night Menu No Reservations $15-$30 Parking/Valet People Keep Coming Back Place for Singles Private Parties Private Rooms Available Pub Feel Good Service See the Game Singles Scene Traditional Tourist Appeal Weekend Brunch 
0000061C,61C,Mity Nice Grill,Chicago,American (New) American (Traditional) Cab Excellent Decor Excellent Food Good for Younger Kids $15-$30 Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Weekend Brunch 
0000062C,62C,Yvette Wintergarden,Chicago,Cab Excellent Decor Dancing Entertainment Excellent Food French Bistro Great Place to Meet for a Drink $15-$30 Private Parties Private Rooms Available Romantic Excellent Service 
0000063C,63C,ARUN'S,Chicago,Extraordinary Decor Near-perfect Food Good Out of Town Business Hip Place To Be Long Drive $30-$50 Extraordinary Service Thai Very Busy - Reservations a Must 
0000064C,64C,Original A-1 Border Beanery,Chicago,Cab Excellent Decor Excellent Food For the Young and Young at Heart Good for Younger Kids $15-$30 Private Parties Private Rooms Available Excellent Service Tex-Mex Weekend Brunch 
0000065C,65C,Half Shell,Chicago,After Hours Dining Good Decor Excellent Food Late Night Menu No Reservations $15-$30 Good Service Seafood Short Drive Weekend Brunch 
0000066C,66C,Thai Classic,Chicago,Carry in Wine and Beer Excellent Decor Extraordinary Food below $15 Excellent Service Short Drive Thai 
0000067C,67C,Red Apple,Chicago,Fair Decor Excellent Food No Reservations No Smoking Allowed below $15 Parking/Valet Polish Relaxed Senior Scene Good Service Short Drive Weekend Brunch 
0000068C,68C,Edwardo's Natural Pizza,Chicago,Cab Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids No Reservations below $15 Pizza Good Service Weekend Brunch 
0000069C,69C,Toulouse on the Park,Chicago,Extraordinary Decor Excellent Food French (New) Need To Dress $30-$50 Parking/Valet Quiet for Conversation Romantic Extraordinary Service Short Drive Up and Coming Very Busy - Reservations a Must 
0000070C,70C,Old Barn,Chicago,Excellent Decor Excellent Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Seafood Steakhouses Weekend Brunch 
0000071C,71C,Happi Sushi,Chicago,Good Decor Excellent Food Japanese $15-$30 Parking/Valet Excellent Service Short Drive 
0000072C,72C,Villa Fiori,Chicago,Excellent Decor Good Food Italian Long Drive $15-$30 Parking/Valet Relaxed Senior Scene Excellent Service 
0000073C,73C,Shish Kabab House,Chicago,Good Decor Good Food Middle Eastern $15-$30 Relaxed Senior Scene Good Service Short Drive 
0000074C,74C,Tre Kronor,Chicago,Authentic Carry in Wine and Beer Good Decor Good Food $15-$30 Relaxed Senior Scene Good Service Scandinavian Short Drive 
0000075C,75C,Johnny Rockets,Chicago,After Hours Dining Cab Coffee Shops Good Decor Diners Dining Outdoors Good Food For the Young and Young at Heart Good for Younger Kids Hamburgers Late Night Menu No Reservations below $15 People Keep Coming Back Good Service Weekend Brunch 
0000076C,76C,Public Landing,Chicago,American (Regional) An Out Of The Way Find Extraordinary Decor Extraordinary Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Brunch 
0000077C,77C,Charlie Beinlich's,Chicago,American (Traditional) Good Decor Excellent Food Hamburgers Long Drive No Reservations below $15 Parking/Valet Relaxed Senior Scene Excellent Service Weekend Brunch 
0000078C,78C,Lou Mitchell's,Chicago,American (Traditional) An Historic Spot Cab Coffee Shops Good Decor Delivery Available Diners Excellent Food No Liquor Served No Reservations Open for Breakfast below $15 Relaxed Senior Scene Excellent Service Takeout Available Weekend Brunch 
0000079C,79C,Finkl's World Famous Deli,Chicago,Cab Catering for Special Events Fair Decor Deli Good Food Good for Younger Kids Jewish No Reservations Open for Breakfast below $15 Relaxed Senior Scene Good Service Weekend Brunch 
0000080C,80C,El Tipico,Chicago,After Hours Dining Good Decor Excellent Food Late Night Menu Mexican No Reservations $15-$30 Excellent Service Short Drive Weekend Brunch 
0000081C,81C,Strega Nona,Chicago,Good Decor Good Food Italian $15-$30 Good Service Short Drive Up and Coming 
0000082C,82C,Neon Greek Village,Chicago,After Hours Dining Cab Good Decor Dancing Entertainment Good Food Greek Late Night Menu $15-$30 Parking/Valet Good Service 
0000083C,83C,Mareva's,Chicago,Continental Excellent Decor Excellent Food $15-$30 Polish Excellent Service Short Drive 
0000084C,84C,Topo Gigio at the Park,Chicago,Good Decor Excellent Food Italian $15-$30 Excellent Service Short Drive 
0000085C,85C,Daily Bar & Grill,Chicago,American (Traditional) Creative Good Decor Good Food $15-$30 Place for Singles Pub Feel Good Service See the Game Short Drive Singles Scene Weekend Brunch 
0000086C,86C,Chicago Chop House,Chicago,Cab Excellent Decor Dancing Entertainment Extraordinary Food $30-$50 Parking/Valet Private Parties Private Rooms Available Pub Feel Excellent Service See the Game Singles Scene Steakhouses Tourist Appeal Weekend Brunch 
0000087C,87C,Russian Tea Time,Chicago,Authentic Cab Excellent Decor Excellent Food $15-$30 Private Parties Private Rooms Available Quiet for Conversation Relaxed Senior Scene Romantic Russian Excellent Service Weekend Brunch 
0000088C,88C,Bacchanalia,Chicago,Good Decor Extraordinary Food Italian Little Known But Well Liked $15-$30 Excellent Service Short Drive Weekend Brunch 
0000089C,89C,Intimate China,Chicago,Chinese Excellent Decor Extraordinary Food below $15 Extraordinary Service Short Drive 
0000090C,90C,Prairie,Chicago,American (Regional) Business Scene Classic Hotel Dining Extraordinary Decor Extraordinary Food Fabulous Wine Lists Game Good Out of Town Business $30-$50 Parking/Valet Private Parties Private Rooms Available Extraordinary Service Short Drive 
0000091C,91C,Binyon's,Chicago,American (Traditional) An Historic Spot Business Scene Cab Good Decor Excellent Food German $15-$30 Parking/Valet Power Brokers Excellent Service Traditional 
0000092C,92C,Los Magueyes,Chicago,Good Decor Good Food For the Young and Young at Heart Good for Younger Kids Long Drive Mexican $15-$30 Parking/Valet Good Service 
0000093C,93C,Uncle Julio's Hacienda,Chicago,Cab Good Decor Good Food Mexican No Reservations $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Weekend Brunch 
0000094C,94C,Clark Street Bistro,Chicago,Good Decor Good Food Mediterranean $15-$30 Parking/Valet Good Service Short Drive Weekend Brunch 
0000095C,95C,Bacino's,Chicago,Cab Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids Italian below $15 Pizza Good Service Weekend Brunch 
0000096C,96C,Heidelberger Fass,Chicago,Excellent Decor Excellent Food Game German $15-$30 Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
0000097C,97C,Chicago Pizza & Oven Grinder,Chicago,Good Decor Excellent Food No Reservations below $15 Pizza Good Service Weekend Brunch 
0000098C,98C,Franco's Ristorante,Chicago,Good Decor Extraordinary Food Italian Little Known But Well Liked $15-$30 Excellent Service Short Drive 
0000099C,99C,Rio Latin Tapas,Chicago,Cab Good Decor Dancing Entertainment Extraordinary Food Little Known But Well Liked below $15 Excellent Service South American Tapas 
00000100C,100C,Gene & Georgetti,Chicago,Business Scene Cab Good Decor Good Food Good Out of Town Business $15-$30 Parking/Valet Power Brokers Private Parties Private Rooms Available Good Service Steakhouses 
00000101C,101C,Raj Darbar,Chicago,Good Decor Excellent Food Indian $15-$30 Parking/Valet Excellent Service Short Drive 
00000102C,102C,Carmen's,Chicago,Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids Italian Long Drive below $15 Pizza Good Service Weekend Brunch 
00000103C,103C,Pane Caldo,Chicago,Cab Excellent Decor Excellent Food Italian $15-$30 Parking/Valet Quiet for Conversation Romantic Excellent Service Very Busy - Reservations a Must Weekend Brunch 
00000104C,104C,Suntory,Chicago,Cab Extraordinary Decor Excellent Food Japanese $30-$50 Parking/Valet Private Parties Private Rooms Available Excellent Service 
00000105C,105C,AMBRIA,Chicago,Near-perfect Decor Near-perfect Food Fabulous Wine Lists French (New) Game Good Out of Town Business Hip Place To Be Need To Dress over $50 Parking/Valet Power Brokers Private Parties Private Rooms Available Prix Fixe Menus Romantic Near-perfect Service Short Drive Very Busy - Reservations a Must 
00000106C,106C,Russell's Barbecue,Chicago,Bar-B-Q Fair Decor Dining Outdoors Excellent Food For the Young and Young at Heart Good for Younger Kids Long Drive No Reservations below $15 Parking/Valet Good Service Traditional Weekend Brunch Wheelchair Access 
00000107C,107C,Saloon,Chicago,American (Traditional) Business Scene Cab Classic Hotel Dining Excellent Decor Excellent Food Good Out of Town Business Great Place to Meet for a Drink $30-$50 Parking/Valet Excellent Service Steakhouses Very Busy - Reservations a Must 
00000108C,108C,Carlos & Carlos,Chicago,Excellent Decor Excellent Food Italian Long Drive $15-$30 Parking/Valet Excellent Service 
00000109C,109C,Mi Casa Su Casa,Chicago,After Hours Dining Good Decor Dining Outdoors Good Food Late Night Menu Mexican $15-$30 Private Parties Private Rooms Available Relaxed Senior Scene Good Service Short Drive Weekend Brunch 
00000110C,110C,Green Door Tavern,Chicago,Authentic American (Traditional) An Historic Spot Cab Good Decor Dining Outdoors Good Food below $15 People Keep Coming Back Place for Singles Good Service 
00000111C,111C,Taboo Bistro 'N' Bar,Chicago,Creative Good Decor Eclectic Good Food Long Drive $15-$30 Quirky Good Service 
00000112C,112C,Fondue Stube,Chicago,Carry in Wine and Beer Good Decor Excellent Food Fondue $15-$30 Romantic Excellent Service Short Drive Traditional Weekend Brunch 
00000113C,113C,Mozart Cafe,Chicago,Carry in Wine and Beer Coffeehouses Good Decor Dining Outdoors Good Food Focus on Dessert Fountain and Ice Cream below $15 Good Service Short Drive Weekend Brunch 
00000114C,114C,Manny's Coffee Shop & Deli,Chicago,Cab Catering for Special Events Coffee Shops Fair Decor Deli Diners Extraordinary Food Jewish Open for Breakfast below $15 Parking/Valet Relaxed Senior Scene Good Service Weekend Brunch 
00000115C,115C,Cafe Borgia,Chicago,Carry in Wine and Beer Good Decor Extraordinary Food Italian Long Drive $15-$30 Excellent Service Weekend Brunch 
00000116C,116C,Nick's Fishmarket,Chicago,Business Scene Cab Extraordinary Decor Extraordinary Food Good Out of Town Business Great Place to Meet for a Drink Need To Dress $30-$50 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Extraordinary Service Seafood Very Busy - Reservations a Must Weekend Brunch 
00000117C,117C,Lou Malnati's Pizzeria,Chicago,After Hours Dining Cab Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids Late Night Menu below $15 Parking/Valet Pizza Good Service Weekend Brunch 
00000118C,118C,Julie Mai's Le Bistro,Chicago,Good Decor Excellent Food French (New) $15-$30 Relaxed Senior Scene Good Service Short Drive Vietnamese 
00000119C,119C,Jane's,Chicago,Excellent Decor Dining Outdoors Excellent Food Health Food $15-$30 Excellent Service Short Drive Vegetarian Weekend Brunch 
00000120C,120C,Lawry's the Prime Rib,Chicago,Business Scene Cab Extraordinary Decor Extraordinary Food Good Out of Town Business $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service Steakhouses Very Busy - Reservations a Must Weekend Brunch 
00000121C,121C,Relish,Chicago,American (New) Excellent Decor Dining Outdoors Eclectic Excellent Food $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Excellent Service Short Drive Weekend Brunch 
00000122C,122C,Lulu's,Chicago,Asian Creative Good Decor Excellent Food Japanese Long Drive No Reservations below $15 Excellent Service Weekend Brunch Wheelchair Access 
00000123C,123C,Wayside Manor,Chicago,An Out Of The Way Find Extraordinary Decor Extraordinary Food French Little Known But Well Liked Long Drive Need To Dress $15-$30 Quiet for Conversation Romantic Extraordinary Service 
00000124C,124C,Shree,Chicago,Carry in Wine and Beer Good Decor Good Food Indian Long Drive $15-$30 Good Service 
00000125C,125C,La Strada,Chicago,Business Scene Cab Excellent Decor Dancing Entertainment Excellent Food Italian $30-$50 Romantic Excellent Service 
00000126C,126C,Gypsy,Chicago,Business Scene Cab Excellent Decor Dining Outdoors Excellent Food Mediterranean $15-$30 Private Parties Private Rooms Available Excellent Service Weekend Brunch 
00000127C,127C,Amourette,Chicago,An Out Of The Way Find Excellent Decor Extraordinary Food French Game Long Drive $15-$30 Prix Fixe Menus Romantic Extraordinary Service Very Busy - Reservations a Must Weekend Brunch 
00000128C,128C,Benihana of Tokyo,Chicago,Cab Classic Hotel Dining Excellent Decor Excellent Food Good Out of Town Business Japanese $15-$30 Parking/Valet Excellent Service 
00000129C,129C,Hong Min,Chicago,After Hours Dining Chinese Fair Decor Dim Sum Extraordinary Food Late Night Menu below $15 Good Service Short Drive Weekend Brunch 
00000130C,130C,Kinzie Street Chophouse,Chicago,Business Scene Cab Excellent Decor Excellent Food $15-$30 Private Parties Private Rooms Available Excellent Service Steakhouses Weekend Brunch 
00000131C,131C,Cross-Rhodes,Chicago,American (Traditional) Fair Decor Delivery Available Excellent Food Greek Long Drive No Reservations below $15 Excellent Service Takeout Available Weekend Brunch 
00000132C,132C,City Tavern,Chicago,American (Traditional) Cab Good Decor Delivery Available Good Food $15-$30 People Keep Coming Back Good Service Takeout Available 
00000133C,133C,Ed Debevic's Short Orders Deluxe,Chicago,After Hours Dining American (Traditional) Coffee Shops Excellent Decor Diners Dining Outdoors Good Food For the Young and Young at Heart Good for Younger Kids Late Night Menu No Reservations below $15 Parking/Valet People Keep Coming Back Private Parties Private Rooms Available Quirky Excellent Service Tourist Appeal Weekend Brunch 
00000134C,134C,Leona's Neighborhood Place,Chicago,After Hours Dining Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids Italian Late Night Menu $15-$30 Pizza Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
00000135C,135C,Las Fuentes,Chicago,Good Decor Dining Outdoors Good Food Margaritas Mexican $15-$30 Parking/Valet Good Service Short Drive 
00000136C,136C,Vernon Park Tap,Chicago,An Historic Spot Good Decor Good Food Italian $15-$30 Parking/Valet Relaxed Senior Scene Good Service Short Drive 
00000137C,137C,Greek Islands,Chicago,Authentic After Hours Dining Cab Excellent Decor Excellent Food Greek Late Night Menu $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Tourist Appeal Weekend Brunch 
00000138C,138C,Cote Rotie,Chicago,An Out Of The Way Find Business Scene Extraordinary Decor Excellent Food Long Drive Mediterranean $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Good Service Up and Coming Weekend Brunch 
00000139C,139C,King Wah,Chicago,Creative Cab Chinese Good Decor Excellent Food below $15 Relaxed Senior Scene Excellent Service Weekend Brunch 
00000140C,140C,Rosded,Chicago,Good Decor Excellent Food $15-$30 Relaxed Senior Scene Excellent Service Short Drive Thai 
00000141C,141C,Hatsuhana,Chicago,Business Scene Cab Excellent Decor Extraordinary Food Good Out of Town Business Japanese $15-$30 Excellent Service 
00000142C,142C,Oceanique,Chicago,An Out Of The Way Find Creative Excellent Decor Extraordinary Food French Long Drive $30-$50 Prix Fixe Menus Extraordinary Service 
00000143C,143C,Moon Palace,Chicago,Chinese Good Decor Excellent Food $15-$30 Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
00000144C,144C,Le Bouchon,Chicago,Authentic Excellent Decor Extraordinary Food French Bistro Hip Place To Be $15-$30 Parking/Valet Romantic Excellent Service Short Drive Up and Coming Very Busy - Reservations a Must 
00000145C,145C,Harry G's Crab & Steak House,Chicago,Good Decor Excellent Food Long Drive $15-$30 Good Service Seafood Steakhouses 
00000146C,146C,Southgate Cafe,Chicago,American (Traditional) Creative Excellent Decor Excellent Food Good for Younger Kids Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Weekend Brunch 
00000147C,147C,Ristorante Agostino,Chicago,Good Decor Extraordinary Food Italian Little Known But Well Liked $15-$30 Extraordinary Service Short Drive 
00000148C,148C,MAGGIANO'S LITTLE ITALY,Chicago,Business Scene Cab Excellent Decor Dining Outdoors Excellent Food Good Out of Town Business Hip Place To Be Italian $15-$30 Parking/Valet Power Brokers Private Parties Private Rooms Available Excellent Service Very Busy - Reservations a Must Weekend Brunch 
00000149C,149C,Fresh Starts,Chicago,American (New) Creative Carry in Wine and Beer Catering for Special Events Good Decor Delivery Available Eclectic Excellent Food Little Known But Well Liked Long Drive $15-$30 Excellent Service Takeout Available 
00000150C,150C,Kuni's,Chicago,Good Decor Extraordinary Food Japanese Long Drive $15-$30 Excellent Service 
00000151C,151C,Trattoria Dinotto,Chicago,Cab Excellent Decor Excellent Food Italian $15-$30 Excellent Service Weekend Brunch 
00000152C,152C,Cafe du Midi,Chicago,Excellent Decor Dining Outdoors Excellent Food French Bistro $15-$30 Romantic Excellent Service Short Drive Weekend Brunch 
00000153C,153C,Eli's the Place for Steaks,Chicago,Cab Excellent Decor Extraordinary Food Good Out of Town Business Great Place to Meet for a Drink $30-$50 Parking/Valet Excellent Service Steakhouses Weekend Brunch 
00000154C,154C,Natraj,Chicago,Carry in Wine and Beer Good Decor Good Food Indian $15-$30 Good Service Short Drive 
00000155C,155C,Il Fornaio,Chicago,Excellent Decor Excellent Food Italian $15-$30 Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
00000156C,156C,St. Germain Bakery-Cafe,Chicago,Bakeries Cab Excellent Decor Delivery Available Excellent Food French Bistro Open for Breakfast $15-$30 Good Service Takeout Available Weekend Brunch 
00000157C,157C,Siam Square,Chicago,Cab Good Decor Good Food below $15 Good Service Thai Wheelchair Access 
