Index,RestaurantID,RestaurantName,RestaurantCity,RestaurantAttributes
14,14A,Le Rendez-Vous,Atlanta,Catering for Special Events Excellent Decor Delivery Available Extraordinary Food French $15-$30 Parking/Valet Private Parties Private Rooms Available Romantic Excellent Service Takeout Available Weekend Dining Wheelchair Access 
15,15A,Rockbridge Diner,Atlanta,Continental Excellent Decor Delivery Available Extraordinary Food Little Known But Well Liked $15-$30 Private Parties Private Rooms Available Extraordinary Service Takeout Available Wheelchair Access 
16,16A,Chefs' Grill,Atlanta,American (Contemporary) Business Scene Creative Catering for Special Events Excellent Decor Extraordinary Food Fabulous Wine Lists Fine for Dining Alone Good for Younger Kids Great for People Watching $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service Takeout Available Wheelchair Access 
17,17A,Jonathan Lee's,Atlanta,Catering for Special Events Chinese Good Decor Delivery Available Excellent Food below $15 Parking/Valet Private Parties Private Rooms Available Excellent Service Takeout Available Thai Very Busy - Reservations a Must Wheelchair Access 
18,18A,The Country Place,Atlanta,American (Contemporary) Business Scene Extraordinary Decor Dining After the Theater Entertainment Extraordinary Food Fine for Dining Alone Good Out of Town Business Late Night Menu $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service Singles Scene Takeout Available Weekend Dining Wheelchair Access 
19,19A,Hama's,Atlanta,Good Decor Excellent Food Japanese $15-$30 Parking/Valet Excellent Service Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
20,20A,Raja Indian Restaurant,Atlanta,Catering for Special Events Fair Decor Excellent Food Indian $15-$30 Parking/Valet Private Parties Private Rooms Available Quirky Excellent Service Weekend Dining 
21,21A,PRICCI,Atlanta,Business Scene Extraordinary Decor Extraordinary Food Fabulous Wine Lists Great for People Watching Hip Place To Be Italian (North & South) $15-$30 Parking/Valet Power Brokers Extraordinary Service Singles Scene Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
22,22A,Pittypat's Porch,Atlanta,Business Scene Good Decor Entertainment Good Food Fine for Dining Alone Good Out of Town Business Good for Younger Kids $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Soulfood Southern Southern Comfort Weekend Dining Wheelchair Access 
23,23A,Houston's,Atlanta,American (Contemporary) American (Traditional) Cab Excellent Decor Dining Outdoors Extraordinary Food For the Young and Young at Heart Hamburgers $15-$30 Parking/Valet Extraordinary Service Singles Scene Weekend Dining Wheelchair Access 
24,24A,Azio,Atlanta,Excellent Decor Dining Outdoors Excellent Food For the Young and Young at Heart Great for People Watching Hip Place To Be Italian (North & South) $15-$30 Pizza Excellent Service Singles Scene Takeout Available Warm spots by the fire Weekend Dining Wheelchair Access 
25,25A,Banks,Atlanta,American (Contemporary) Continental Extraordinary Decor Extraordinary Food Little Known But Well Liked $15-$30 Extraordinary Service 
26,26A,ABRUZZI RISTORANTE,Atlanta,Business Scene Catering for Special Events Excellent Decor Extraordinary Food Game Good Out of Town Business Italian (Northern) Need To Dress $30-$50 Parking/Valet Power Brokers Private Parties Private Rooms Available Quiet for Conversation Romantic Extraordinary Service Very Busy - Reservations a Must Wheelchair Access 
27,27A,Rio Bravo Cantina,Atlanta,Excellent Decor Dining Outdoors Excellent Food For the Young and Young at Heart Good for Younger Kids Margaritas Mexican below $15 Parking/Valet Private Parties Private Rooms Available Excellent Service Singles Scene Tex-Mex Weekend Dining Wheelchair Access 
28,28A,Savannah Fish Company,Atlanta,Creative Classic Hotel Dining Excellent Decor Excellent Food $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Seafood Weekend Dining 
29,29A,Lombardi's,Atlanta,Business Scene Excellent Decor Excellent Food Italian (North & South) $15-$30 Parking/Valet Excellent Service Takeout Available Weekend Dining Wheelchair Access 
30,30A,Johnny Rockets,Atlanta,American (Traditional) Cab Excellent Decor Dining Outdoors Excellent Food For the Young and Young at Heart Good for Younger Kids Hamburgers below $15 Parking/Valet Excellent Service Weekend Dining 
31,31A,Opus,Atlanta,American (Contemporary) Business Scene Creative Classic Hotel Dining Extraordinary Decor Dining Outdoors Entertainment Extraordinary Food Good Out of Town Business No Smoking Allowed $30-$50 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Extraordinary Service Vegetarian 
32,32A,La Paz,Atlanta,Creative Catering for Special Events Excellent Decor Dining Outdoors Extraordinary Food Fine for Dining Alone Good for Younger Kids Mexican below $15 Parking/Valet Private Parties Private Rooms Available Quirky Excellent Service Singles Scene Southwestern Tex-Mex Weekend Dining Wheelchair Access 
33,33A,Tortilla's,Atlanta,Good Decor Dining Outdoors Extraordinary Food Mexican below $15 Parking/Valet Quirky Good Service Tex-Mex Weekend Dining Wheelchair Access 
34,34A,Acacia,Atlanta,American (Contemporary) Business Scene Classic Hotel Dining Extraordinary Decor Excellent Food Fine for Dining Alone Game Good Out of Town Business Health Conscious Menus $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Very Busy - Reservations a Must 
35,35A,Snack 'n Shop,Atlanta,Good Decor Deli Excellent Food Good for Younger Kids below $15 Parking/Valet Relaxed Senior Scene Excellent Service Takeout Available Wheelchair Access 
36,36A,Touch of India,Atlanta,Good Decor Excellent Food Indian below $15 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Dining Wheelchair Access 
37,37A,The Hawthorne Cottage Tea Room,Atlanta,Catering for Special Events Excellent Decor Delivery Available Dining Outdoors Eclectic Excellent Food High Tea No Smoking Allowed below $15 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Southern Comfort Takeout Available Wheelchair Access 
38,38A,Old Vinings Inn,Atlanta,Continental Extraordinary Decor Dining Outdoors Excellent Food Fine for Dining Alone $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Excellent Service 
39,39A,Janousek's,Atlanta,Catering for Special Events Continental Excellent Decor Extraordinary Food Good for Younger Kids Little Known But Well Liked $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service Takeout Available Wheelchair Access 
40,40A,Cafe Intermezzo,Atlanta,Coffee Shops Extraordinary Decor Diners Dining After the Theater Dining Outdoors Excellent Food Fine for Dining Alone High Tea Late Night Menu below $15 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Excellent Service Takeout Available Weekend Dining Wheelchair Access 
41,41A,Sukhothai,Atlanta,Catering for Special Events Excellent Decor Extraordinary Food $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Thai Wheelchair Access 
42,42A,Suntory,Atlanta,Business Scene Cab Extraordinary Decor Delivery Available Extraordinary Food Good Out of Town Business Japanese $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Takeout Available Weekend Dining Wheelchair Access 
43,43A,Cha Gio,Atlanta,Catering for Special Events Good Decor Excellent Food below $15 Private Parties Private Rooms Available Excellent Service Vietnamese Weekend Dining Wheelchair Access 
44,44A,Fellini's Pizza,Atlanta,After Hours Dining Good Decor Dining Outdoors Excellent Food For the Young and Young at Heart Good for Younger Kids Great for People Watching Late Night Menu below $15 Parking/Valet Pizza Quirky Good Service Weekend Dining Wheelchair Access 
45,45A,SURIN OF THAILAND,Atlanta,Excellent Decor Extraordinary Food Fine for Dining Alone Great for People Watching $15-$30 Parking/Valet Excellent Service Thai Wheelchair Access 
46,46A,China Royal,Atlanta,Authentic Catering for Special Events Chinese Good Decor Delivery Available Good Food For the Young and Young at Heart Good for Younger Kids below $15 Parking/Valet Private Parties Private Rooms Available Excellent Service Wheelchair Access 
47,47A,Nakato,Atlanta,Catering for Special Events Extraordinary Decor Extraordinary Food Good for Younger Kids Japanese Need To Dress $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
48,48A,Thelma's Kitchen,Atlanta,Cafeterias Fair Decor Extraordinary Food below $15 Good Service Soulfood Southern Southern Comfort Takeout Available Wheelchair Access 
49,49A,Silver Grill,Atlanta,Authentic Coffee Shops Good Decor Diners Excellent Food below $15 Parking/Valet Excellent Service Soulfood Southern Southern Comfort Wheelchair Access 
50,50A,Cafe de la Place,Atlanta,Catering for Special Events Continental Excellent Decor Delivery Available Excellent Food French French Contemporary $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Excellent Service Weekend Dining Wheelchair Access 
51,51A,The Colonnade,Atlanta,Good Decor Excellent Food Great for People Watching below $15 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Soulfood Southern Southern Comfort Takeout Available Warm spots by the fire Weekend Dining Wheelchair Access 
52,52A,Spanish Cafe,Atlanta,Authentic Cuban Excellent Decor Entertainment Excellent Food Little Known But Well Liked $15-$30 Parking/Valet Private Parties Private Rooms Available Quirky Excellent Service Spanish Takeout Available Wheelchair Access 
53,53A,China Doll,Atlanta,Chinese Excellent Decor Extraordinary Food below $15 Parking/Valet Excellent Service Wheelchair Access 
54,54A,Niko's,Atlanta,Excellent Decor Dining Outdoors Excellent Food Good for Younger Kids Greek $15-$30 Private Parties Private Rooms Available Excellent Service Wheelchair Access 
55,55A,Kobe Steaks,Atlanta,Excellent Decor Excellent Food Good for Younger Kids Japanese $15-$30 Private Parties Private Rooms Available Excellent Service Steakhouses Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
56,56A,San Gennaro,Atlanta,Catering for Special Events Excellent Decor Dining Outdoors Excellent Food Italian (Southern) $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Dining Wheelchair Access 
57,57A,Nuts and Berries,Atlanta,Fair Decor Good Food Fine for Dining Alone Health Food No Smoking Allowed below $15 Parking/Valet Good Service Takeout Available Vegetarian Wheelchair Access 
58,58A,Outback Steaks,Atlanta,Catering for Special Events Excellent Decor Dining Outdoors Excellent Food Good for Younger Kids $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Steakhouses Takeout Available Weekend Dining Wheelchair Access 
59,59A,Baker's Cafe,Atlanta,Cajun Creole Good Decor Excellent Food below $15 Parking/Valet Quirky Excellent Service Takeout Available Weekend Dining Wheelchair Access 
60,60A,Emah's Restaurant & Cafe,Atlanta,Catering for Special Events Fair Decor Dining Outdoors Excellent Food Jewish Mediterranean Middle Eastern No Smoking Allowed below $15 Parking/Valet Excellent Service Takeout Available Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
61,61A,Ray's New York Pizza,Atlanta,Catering for Special Events Fair Decor Dining Outdoors Excellent Food Italian (North & South) below $15 Parking/Valet Private Parties Private Rooms Available Good Service Weekend Dining Wheelchair Access 
62,62A,Claudette's,Atlanta,Catering for Special Events Excellent Decor Delivery Available Excellent Food French $15-$30 Parking/Valet Private Parties Private Rooms Available Romantic Excellent Service Takeout Available Weekend Dining Wheelchair Access 
63,63A,Pilgreen's,Atlanta,An Historic Spot Good Decor Excellent Food Good for Younger Kids $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Soulfood Southern Steakhouses Traditional Takeout Available Wheelchair Access 
64,64A,Carey's,Atlanta,American (Traditional) Fair Decor Dancing Entertainment Excellent Food Hamburgers below $15 Parking/Valet Good Service Takeout Available Weekend Dining Wheelchair Access 
65,65A,Lickskillet Farm,Atlanta,American (Traditional) An Historic Spot Extraordinary Decor Excellent Food Good for Younger Kids $15-$30 Private Parties Private Rooms Available Relaxed Senior Scene Extraordinary Service Soulfood Southern Southern Comfort Warm spots by the fire Weekend Dining 
66,66A,The Red Snapper,Atlanta,Good Decor Extraordinary Food $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Seafood Traditional Weekend Dining Wheelchair Access 
67,67A,Gene and Gabe's Lodge,Atlanta,Excellent Decor Dining Outdoors Excellent Food Italian (North & South) $15-$30 Private Parties Private Rooms Available Excellent Service Warm spots by the fire 
68,68A,The Crab House,Atlanta,Good Decor Entertainment Good Food Good for Younger Kids $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Seafood Traditional Takeout Available Weekend Dining Wheelchair Access 
69,69A,Papa Piroski's,Atlanta,Excellent Decor Extraordinary Food Need To Dress No Smoking Allowed $15-$30 Parking/Valet Private Parties Private Rooms Available Romantic Russian Excellent Service Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
70,70A,Taco Mac,Atlanta,After Hours Dining Catering for Special Events Good Decor Delivery Available Dining Outdoors Entertainment Good Food Late Night Menu Mexican below $15 Parking/Valet People Keep Coming Back Private Parties Private Rooms Available Quirky Good Service Singles Scene Tex-Mex Weekend Dining Wheelchair Access 
71,71A,Stage Deli,Atlanta,Catering for Special Events Excellent Decor Deli Delivery Available Dining Outdoors Extraordinary Food Fine for Dining Alone Good for Younger Kids below $15 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Good Service Weekend Dining Wheelchair Access 
72,72A,Ruth's Chris Steakhouse,Atlanta,American (Traditional) Business Scene Excellent Decor Delivery Available Extraordinary Food Good Out of Town Business $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Steakhouses Takeout Available Weekend Dining Wheelchair Access 
73,73A,The Coach and Six,Atlanta,American (Traditional) Business Scene Excellent Decor Entertainment Excellent Food Hip Place To Be $15-$30 Parking/Valet Power Brokers Private Parties Private Rooms Available Excellent Service Weekend Dining Wheelchair Access 
74,74A,Anthony's,Atlanta,An Historic Spot Business Scene Continental Extraordinary Decor Dining Outdoors Excellent Food Game Good Out of Town Business Health Conscious Menus $15-$30 Parking/Valet Private Parties Private Rooms Available Prix Fixe Menus Relaxed Senior Scene Excellent Service Soulfood Southern Southern Comfort Warm spots by the fire Wheelchair Access 
75,75A,Jim White's Half Shell,Atlanta,Good Decor Delivery Available Excellent Food $15-$30 Parking/Valet Relaxed Senior Scene Excellent Service Seafood Traditional Takeout Available Very Busy - Reservations a Must Wheelchair Access 
76,76A,El Toro,Atlanta,Catering for Special Events Fair Decor Good Food Good for Younger Kids Margaritas Mexican below $15 Parking/Valet People Keep Coming Back Good Service Tex-Mex Weekend Dining Wheelchair Access 
77,77A,Burton's Grill,Atlanta,Catering for Special Events Fair Decor Extraordinary Food Good for Younger Kids below $15 Quirky Good Service Soulfood Southern Southern Comfort Takeout Available 
78,78A,House of Chan,Atlanta,Chinese Good Decor Extraordinary Food below $15 Parking/Valet Excellent Service 
79,79A,Jagger's,Atlanta,Good Decor Excellent Food Fine for Dining Alone For the Young and Young at Heart Good for Younger Kids below $15 Parking/Valet Pizza Private Parties Private Rooms Available Quirky Good Service Singles Scene Weekend Dining Wheelchair Access 
80,80A,Avanzare,Atlanta,Business Scene Cab Classic Hotel Dining Extraordinary Decor Excellent Food Good Out of Town Business Good for Younger Kids Italian (Northern) $15-$30 Parking/Valet Excellent Service Takeout Available Weekend Dining 
81,81A,San Jose,Atlanta,Fair Decor Good Food Margaritas Mexican below $15 Good Service Tex-Mex 
82,82A,Nino's,Atlanta,Catering for Special Events Good Decor Excellent Food Italian (North & South) $15-$30 Parking/Valet Private Parties Private Rooms Available Romantic Excellent Service Takeout Available Wheelchair Access 
83,83A,Pete's (aka The Forum),Atlanta,American (Traditional) Continental Good Decor Early Dining Excellent Food Good for Younger Kids $15-$30 Parking/Valet Pre-theater Dining Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Takeout Available Warm spots by the fire Wheelchair Access 
84,84A,Dusty's,Atlanta,Bar-B-Q Catering for Special Events Fair Decor Excellent Food Good for Younger Kids below $15 Parking/Valet Quirky Good Service Soulfood Southern Weekend Dining 
85,85A,Petite Auberge,Atlanta,Catering for Special Events Continental Excellent Decor Excellent Food French $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Takeout Available Warm spots by the fire Wheelchair Access 
86,86A,Bamboo Luau's Chinatown,Atlanta,After Hours Dining Catering for Special Events Chinese Good Decor Delivery Available Good Food Late Night Menu below $15 Parking/Valet Private Parties Private Rooms Available Good Service Wheelchair Access 
87,87A,Brother Juniper's,Atlanta,Coffee Shops Fair Decor Diners Excellent Food Health Food below $15 Parking/Valet Quirky Good Service Wheelchair Access 
88,88A,Veggieland,Atlanta,Catering for Special Events Fair Decor Dining Outdoors Excellent Food Fine for Dining Alone Health Food No Smoking Allowed below $15 Parking/Valet Relaxed Senior Scene Good Service Takeout Available Vegetarian Wheelchair Access 
89,89A,Raffaello,Atlanta,Business Scene Excellent Decor Excellent Food Italian (Northern) Need To Dress $30-$50 Parking/Valet Romantic Extraordinary Service Traditional Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
90,90A,Sitar,Atlanta,Classic Hotel Dining Good Decor Extraordinary Food Indian Little Known But Well Liked $15-$30 Parking/Valet Extraordinary Service Weekend Dining 
91,91A,Avanti's,Atlanta,Good Decor Dancing Entertainment Good Food Good for Younger Kids Italian (Northern) $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Wheelchair Access 
92,92A,Violette,Atlanta,Good Decor Excellent Food French Bistro $15-$30 Parking/Valet Quirky Romantic Excellent Service Takeout Available 
93,93A,Zur Bratwurst Bavarian,Atlanta,Catering for Special Events Fair Decor Dining Outdoors Excellent Food German below $15 Parking/Valet Private Parties Private Rooms Available Good Service Takeout Available Wheelchair Access 
94,94A,Yakitori Den-Chan,Atlanta,After Hours Dining Excellent Decor Excellent Food Hip Place To Be Japanese Late Night Menu $15-$30 Private Parties Private Rooms Available Excellent Service Weekend Dining Wheelchair Access 
95,95A,A Taste of New Orleans,Atlanta,Cajun Catering for Special Events Creole Good Decor Extraordinary Food $15-$30 Private Parties Private Rooms Available Excellent Service Takeout Available Wheelchair Access 
96,96A,Bridgetown Grill,Atlanta,Caribbean Catering for Special Events Cuban Excellent Decor Delivery Available Dining Outdoors Excellent Food below $15 Parking/Valet Quirky Excellent Service Takeout Available Weekend Dining 
97,97A,Dooley's Tavern,Atlanta,After Hours Dining American (Traditional) Catering for Special Events Good Decor Dining Outdoors Fair Food Late Night Menu below $15 Parking/Valet Private Parties Private Rooms Available Pub Feel Good Service Singles Scene Takeout Available Weekend Dining Wheelchair Access 
98,98A,Nicola's,Atlanta,Catering for Special Events Good Decor Extraordinary Food Good for Younger Kids Mediterranean Middle Eastern $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service Vegetarian Weekend Dining Wheelchair Access 
99,99A,Cassis,Atlanta,Business Scene Cab Classic Hotel Dining Extraordinary Decor Extraordinary Food Good Out of Town Business Good for Younger Kids Mediterranean $30-$50 Parking/Valet Private Parties Private Rooms Available Prix Fixe Menus Romantic Excellent Service Weekend Dining 
100,100A,Chow,Atlanta,American (Contemporary) Catering for Special Events Excellent Decor Dining Outdoors Excellent Food Fine for Dining Alone Great for People Watching Hip Place To Be Italian (Northern) $15-$30 Excellent Service Singles Scene Takeout Available Weekend Dining 
101,101A,Bobby and June's Country Kitchen,Atlanta,Bar-B-Q Catering for Special Events Fair Decor Delivery Available Excellent Food Good for Younger Kids below $15 Parking/Valet Private Parties Private Rooms Available Excellent Service Soulfood Southern Southern Comfort Takeout Available Wheelchair Access 
102,102A,Hong Kong Delight,Atlanta,Catering for Special Events Chinese Good Decor Delivery Available Excellent Food Good for Younger Kids below $15 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Wheelchair Access 
103,103A,French Quarter Grocery,Atlanta,Authentic American (Regional) Cajun Catering for Special Events Creole Fair Decor Dining Outdoors Extraordinary Food Good for Younger Kids Little Known But Well Liked below $15 Parking/Valet Quirky Excellent Service Takeout Available Wheelchair Access 
104,104A,The Silver Skillet,Atlanta,American (Traditional) Coffee Shops Good Decor Diners Excellent Food Fine for Dining Alone Great for People Watching Hip Place To Be below $15 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Soulfood Southern Southern Comfort 
105,105A,Bien Thuy,Atlanta,Authentic Catering for Special Events Fair Decor Extraordinary Food below $15 Parking/Valet Private Parties Private Rooms Available Quirky Excellent Service Vietnamese Weekend Dining Wheelchair Access 
106,106A,Paschal's,Atlanta,An Historic Spot Classic Hotel Dining Good Decor Entertainment Excellent Food Good for Younger Kids below $15 Parking/Valet Power Brokers Private Parties Private Rooms Available Excellent Service Soulfood Southern Southern Comfort Takeout Available Weekend Dining 
107,107A,African Brown Bag Restaurant,Atlanta,African Creative Catering for Special Events Fair Decor Entertainment Excellent Food below $15 Parking/Valet Private Parties Private Rooms Available Quirky Excellent Service Wheelchair Access 
108,108A,INDIGO,Atlanta,Caribbean Excellent Decor Dining After the Theater Dining Outdoors Eclectic Extraordinary Food Fabulous Wine Lists Great for People Watching Hip Place To Be Late Night Menu $15-$30 Parking/Valet Extraordinary Service Seafood Takeout Available Weekend Dining Wheelchair Access 
109,109A,CITY GRILL,Atlanta,American (Contemporary) American (Regional) An Historic Spot Business Scene Continental Near-perfect Decor Extraordinary Food Great for People Watching Need To Dress $30-$50 Parking/Valet Power Brokers Private Parties Private Rooms Available Extraordinary Service Weekend Dining 
110,110A,Eat Your Vegetables,Atlanta,American (Contemporary) Catering for Special Events Good Decor Entertainment Excellent Food Health Conscious Menus Health Food No Smoking Allowed below $15 Parking/Valet Excellent Service Traditional Takeout Available Vegetarian Wheelchair Access 
111,111A,The Captain's Roost,Atlanta,Good Decor Dining After the Theater Excellent Food Late Night Menu below $15 Parking/Valet Excellent Service Seafood Takeout Available 
112,112A,CHEFS' CAFE,Atlanta,American (Contemporary) Classic Hotel Dining Excellent Decor Extraordinary Food Fabulous Wine Lists Fine for Dining Alone Good Out of Town Business Great for People Watching $15-$30 Parking/Valet Private Parties Private Rooms Available Prix Fixe Menus Extraordinary Service Takeout Available Very Busy - Reservations a Must Weekend Dining 
113,113A,The Steamhouse,Atlanta,After Hours Dining Excellent Decor Dining Outdoors Good Food Late Night Menu below $15 Parking/Valet Good Service Seafood Singles Scene Takeout Available Wheelchair Access 
114,114A,China Moon,Atlanta,Chinese Excellent Decor Excellent Food $15-$30 Excellent Service 
115,115A,Coco Loco,Atlanta,Authentic Caribbean Catering for Special Events Cuban Good Decor Dining Outdoors Excellent Food Good for Younger Kids below $15 Private Parties Private Rooms Available Quirky Excellent Service Weekend Dining Wheelchair Access 
116,116A,Cafe Gamay,Atlanta,American (Contemporary) Business Scene Classic Hotel Dining Extraordinary Decor Dining Outdoors Entertainment Extraordinary Food Good Out of Town Business Good for Younger Kids $15-$30 Parking/Valet Private Parties Private Rooms Available Prix Fixe Menus Excellent Service Takeout Available 
117,117A,Capo's Cafe,Atlanta,American (Contemporary) Excellent Decor Dining Outdoors Excellent Food Italian (North & South) $15-$30 Parking/Valet Excellent Service Weekend Dining 
118,118A,Fellini's Pasta,Atlanta,Catering for Special Events Good Decor Entertainment Excellent Food Italian (North & South) below $15 Parking/Valet People Keep Coming Back Good Service Weekend Dining 
119,119A,First China,Atlanta,After Hours Dining Catering for Special Events Chinese Good Decor Delivery Available Extraordinary Food Late Night Menu below $15 Parking/Valet Private Parties Private Rooms Available Excellent Service Wheelchair Access 
120,120A,Lindy's,Atlanta,Extraordinary Decor Delivery Available Dining Outdoors Excellent Food Italian (Northern) $15-$30 Parking/Valet Excellent Service Takeout Available Weekend Dining Wheelchair Access 
121,121A,KAMOGAWA,Atlanta,Authentic Business Scene Classic Hotel Dining Extraordinary Decor Extraordinary Food Good Out of Town Business Japanese $30-$50 Parking/Valet Private Parties Private Rooms Available Prix Fixe Menus Quiet for Conversation Extraordinary Service Weekend Dining 
122,122A,Beesley's of Buckhead,Atlanta,American (Contemporary) Excellent Decor Delivery Available Excellent Food Fabulous Wine Lists $15-$30 Excellent Service Singles Scene Takeout Available Wheelchair Access 
123,123A,Cafe Chanterelle,Atlanta,Continental Excellent Decor Excellent Food French Contemporary Italian (North Italian (Northern) $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Takeout Available Weekend Dining Wheelchair Access 
124,124A,Sushi Huku,Atlanta,Catering for Special Events Excellent Decor Extraordinary Food Japanese Little Known But Well Liked $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Dining 
125,125A,The Patio by the River,Atlanta,American (Traditional) Catering for Special Events Excellent Decor Delivery Available Dining Outdoors Entertainment Excellent Food French Need To Dress $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Relaxed Senior Scene Romantic Excellent Service Takeout Available Warm spots by the fire 
126,126A,Toni's Casa Napoli,Atlanta,Catering for Special Events Excellent Decor Dining Outdoors Excellent Food Italian (North & South) $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Takeout Available Very Busy - Reservations a Must Weekend Dining Wheelchair Access 
127,127A,Calcutta,Atlanta,Good Decor Good Food Fine for Dining Alone Indian below $15 Parking/Valet Quirky Excellent Service Weekend Dining Wheelchair Access 
128,128A,Winfield's,Atlanta,American (Traditional) Extraordinary Decor Entertainment Excellent Food Good for Younger Kids $15-$30 Parking/Valet Quiet for Conversation Relaxed Senior Scene Romantic Extraordinary Service Takeout Available Wheelchair Access 
